Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Study of security framework for lot devices: challenges, strategies and applications",Service Oriented Computing and Applications,,,,10.1007/s11761-026-00490-1,Roshani ParmarNagendra Gajjar,2026,https://link.springer.com/article/10.1007/s11761-026-00490-1,Article
Enhanced Grey Wolf Optimization (EGWO) and random forest based mechanism for intrusion detection in IoT networks,Scientific Reports,,,,10.1038/s41598-024-81147-x,Saad Said AlqahtanyAsadullah ShaikhAli Alqazzaz,2025,https://link.springer.com/article/10.1038/s41598-024-81147-x,Article
A Systematic Review Paper on Attack Detection Systems in Internet of Things Environment,Cyber Intelligence and Information Retrieval,,,,10.1007/978-981-97-7603-0_36,Umang KantVinod Kumar,2025,https://link.springer.com/chapter/10.1007/978-981-97-7603-0_36,Conference paper
Privacy-preserving healthcare data in IoT: a synergistic approach with deep learning and blockchain,The Journal of Supercomputing,,,,10.1007/s11227-025-06980-x,Behnam Rezaei BezanjaniSeyyed Hamid GhafouriReza Gholamrezaei,2025,https://link.springer.com/article/10.1007/s11227-025-06980-x,Article
Data-driven models for electricity theft and anomalous power consumption detection: a systematic review,Applied Intelligence,,,,10.1007/s10489-025-06663-3,Rajesh NayakJaidhar C D,2025,https://link.springer.com/article/10.1007/s10489-025-06663-3,Article
SmartTrust: a hybrid deep learning framework for real-time threat detection in cloud environments using Zero-Trust Architecture,Journal of Cloud Computing,,,,10.1186/s13677-025-00764-7,Umesh Kumar LilhoreSarita SimaiyaRoobaea AlroobaeaAbdullah M. BaqasahMajed AlsafyaniAfnan AlhazmiMd Monish Khan,2025,https://link.springer.com/article/10.1186/s13677-025-00764-7,Article
Secure and efficient internet of medical things framework for lung cancer diagnosis using transfer learning,Discover Computing,,,,10.1007/s10791-026-10233-7,R. UsharaniN. KanimozhiK. Manoz Kumar ReddyAshutosh SinghM. KarpagamS. SarumathiKrishna Kant Pandey,2026,https://link.springer.com/article/10.1007/s10791-026-10233-7,Article
Stacked autoencoder with weighted loss function for intrusion detection in IoT application,Multimedia Tools and Applications,,,,10.1007/s11042-024-19962-7,Rekha GangulaMurali Mohan VutukuruM. Ranjeeth Kumar,2024,https://link.springer.com/article/10.1007/s11042-024-19962-7,Article
Secure Cloud Assisted Fog Computing Framework for IoT Applications Using Ensemble Learning,SN Computer Science,,,,10.1007/s42979-025-04257-x,Mohammad AknanMaheshwari Prasad SinghRajeev Arya,2025,https://link.springer.com/article/10.1007/s42979-025-04257-x,Article
SCADA intrusion detection using deep factorization machines,Scientific Reports,,,,10.1038/s41598-025-20625-2,Mohammed ZakariahSyed Umar AminFatma S. AlrayesMaha HelalZafar Iqbal Khan,2025,https://link.springer.com/article/10.1038/s41598-025-20625-2,Article
Securing healthcare data in mobile edge computing: a hybrid deep learning framework for privacy and anomaly detection,Knowledge and Information Systems,,,,10.1007/s10115-025-02586-0,Anandh Sam Chandra BoseM. EliazerB. Uma MaheswariA. SivaneshkumarM. SumithraShamimul Qamar,2025,https://link.springer.com/article/10.1007/s10115-025-02586-0,Article
A Comprehensive Review on Swarm Intelligence and Machine Learning Based Diagnostic Techniques for Automated Disease Diagnosis,Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10550-6,Rimmy ChuchraManik SharmaSanjeev Kumar Sharma,2026,https://link.springer.com/article/10.1007/s11831-026-10550-6,Article
"Unlocking the black box: an in-depth review on interpretability, explainability, and reliability in deep learning",Neural Computing and Applications,,,,10.1007/s00521-024-10437-2,Emrullah ŞAHiNNaciye Nur ArslanDurmuş Özdemir,2024,https://link.springer.com/article/10.1007/s00521-024-10437-2,Article
"A comprehensive survey on securing the social internet of things: protocols, threat mitigation, technological integrations, tools, and performance metrics",Scientific Reports,,,,10.1038/s41598-025-23865-4,Deepa Ashok PatilShyamala G.,2025,https://link.springer.com/article/10.1038/s41598-025-23865-4,Article
IoT-AI Fusion in Smart Buildings: A Review of Efficient Energy Management Approaches and Open Research Challenges,SN Computer Science,,,,10.1007/s42979-026-05012-6,Simarjit KaurAashima Sharma,2026,https://link.springer.com/article/10.1007/s42979-026-05012-6,Article
A multi-level intrusion detection system for industrial IoT using bowerbird courtship-inspired feature selection and hybrid data balancing,Discover Computing,,,,10.1007/s10791-025-09632-z,S Kumar Reddy MallidiRajeswara Rao Ramisetty,2025,https://link.springer.com/article/10.1007/s10791-025-09632-z,Article
Safeguarding federated learning models in intelligent internet of medical things against data poisoning attacks,Discover Internet of Things,,,,10.1007/s43926-025-00244-z,Sanjoy MondalTaniya GhoshShreya Suman Patra,2025,https://link.springer.com/article/10.1007/s43926-025-00244-z,Article
Graph-based federated learning approach for intrusion detection in IoT networks,Scientific Reports,,,,10.1038/s41598-025-25175-1,Fouad Al TfailyZakariya GhalmaneMohamed el Amine BrahmiaHussein HazimehAli JaberMourad Zghal,2025,https://link.springer.com/article/10.1038/s41598-025-25175-1,Article
Federated Learning Based Intrusion Detection System for Healthcare Domain,Intelligent Solutions for Smart Adaptation in Digital Era,,,,10.1007/978-981-97-8193-5_11,Md. Abu Talha ReyazV. VanithaN. Rajathi,2025,https://link.springer.com/chapter/10.1007/978-981-97-8193-5_11,Conference paper
Artificial intelligence and machine learning in cybersecurity: a deep dive into state-of-the-art techniques and future paradigms,Knowledge and Information Systems,,,,10.1007/s10115-025-02429-y,Nachaat Mohamed,2025,https://link.springer.com/article/10.1007/s10115-025-02429-y,Article
Advancements in training and deployment strategies for AI-based intrusion detection systems in IoT: a systematic literature review,Discover Internet of Things,,,,10.1007/s43926-025-00099-4,S. Kumar Reddy MallidiRajeswara Rao Ramisetty,2025,https://link.springer.com/article/10.1007/s43926-025-00099-4,Article
Adaptive weighted kernel support vector machine-based circle search approach for intrusion detection in IoT environments,"Signal, Image and Video Processing",,,,10.1007/s11760-024-03088-2,C. GeethaShiny Duela JohnsonA. Sheryl OliverD. Lekha,2024,https://link.springer.com/article/10.1007/s11760-024-03088-2,Article
A lightweight trusted framework for secure data exchange and threat mitigation in IoT-enabled healthcare environments,Scientific Reports,,,,10.1038/s41598-025-22797-3,Pramit Kumar SamantVinay PathakWakar AhmadAbdulatif Alabdultif,2025,https://link.springer.com/article/10.1038/s41598-025-22797-3,Article
EnLeM: ensemble learning-based model to detect phishing websites,EURASIP Journal on Information Security,,,,10.1186/s13635-025-00219-1,Most Nilufa YeasminMd Abu Rumman RefatBikash Chandra SinghZulfikar AlomZeyar AungMohammad Azim,2025,https://link.springer.com/article/10.1186/s13635-025-00219-1,Article
A Novel Hybrid Method Using Grey Wolf Algorithm and Genetic Algorithm for IoT Botnet DDoS Attacks Detection,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-025-00774-y,Mahdieh MaazalahiSoodeh Hosseini,2025,https://link.springer.com/article/10.1007/s44196-025-00774-y,Article
"Federated learning in intrusion detection: advancements, applications, and future directions",Cluster Computing,,,,10.1007/s10586-025-05325-w,Busra BuyuktanirŞahsene AltinkayaGozde Karatas BaydogmusKazim Yildiz,2025,https://link.springer.com/article/10.1007/s10586-025-05325-w,Article
CyberFedEdgeAI framework for real time cyberattack detection in heterogeneous IoT systems using federated edge intelligence,Discover Computing,,,,10.1007/s10791-026-10129-6,T. SwarnalathaS. L. Aruna RaoRahul SuryodaiDesidi Narsimha ReddyA. VanathiK. Sudheer Kumar,2026,https://link.springer.com/article/10.1007/s10791-026-10129-6,Article
Quantized autoencoder (QAE) intrusion detection system for anomaly detection in resource-constrained IoT devices using RT-IoT2022 dataset,Cybersecurity,,,,10.1186/s42400-023-00178-5,B S SharmilaRohini Nagapadma,2023,https://link.springer.com/article/10.1186/s42400-023-00178-5,Article
Blockchain-Assisted Transformer CNN Framework with Optimal Feature Selection for Real-Time Digital Payment Fraud Detection,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-025-01126-6,Himani FnuMahamood Hussain MirzaMahatma Reddy MarriSangeeta SinghNitin KumarDominic Majak Deng AdolRania M. GhoniemRuby PantSalil Bharany,2026,https://link.springer.com/article/10.1007/s44196-025-01126-6,Article
Beyond the Black Box: XAI Strategies for Safeguarding Critical Infrastructure,Data Protection,,,,10.1007/978-3-031-76473-8_7,Arjun SinghSarthak KathaitAnshi KothariShantanu JoshiYutika AgarwalSaksham BadoniMohit BhattPreeti Mishra,2024,https://link.springer.com/chapter/10.1007/978-3-031-76473-8_7,Chapter
Health monitoring by integrating explainable artificial intelligence and social internet of things,Cluster Computing,,,,10.1007/s10586-026-06128-3,Salka RahmanShabir Ahman SofiZamrooda Jabeen,2026,https://link.springer.com/article/10.1007/s10586-026-06128-3,Article
Artificial intelligence-based intrusion detection and secure communication model for sustainable 6G-IoT networks,Scientific Reports,,,,10.1038/s41598-026-42664-z,Mohammed Assiri,2026,https://link.springer.com/article/10.1038/s41598-026-42664-z,Article
An ensemble learning approach for intrusion detection in IoT-based smart cities,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-024-01776-x,G. IndraE. NirmalaG. NirmalaP. Gururama Senthilvel,2024,https://link.springer.com/article/10.1007/s12083-024-01776-x,Article
Enhancing Security in&#xa0;Connected Medical IoT Networks Through Deep Learning-Based Anomaly Detection,"Mobile, Secure, and Programmable Networking",,,,10.1007/978-3-031-52426-4_7,Ismaila SyBirahime DioufAbdou Khadre DiopCyril DrocourtDavid Durand,2024,https://link.springer.com/chapter/10.1007/978-3-031-52426-4_7,Conference paper
Federated learning-guided intrusion detection and neural key exchange for safeguarding patient data on the internet of medical things,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-024-02269-2,Chongzhou ZhongArindam SarkarSarbajit MannaMohammad Zubair KhanAbdulfattah NoorwaliAshish DasKoyel Chakraborty,2024,https://link.springer.com/article/10.1007/s13042-024-02269-2,Article
Enhancing IoMT edge security through federated small language models and knowledge-defined networks,The Journal of Supercomputing,,,,10.1007/s11227-026-08661-9,Ahmed Raoof Tawfeeq Al-HasaniAli BroumandniaHamid Haj Seyyed Javadi,2026,https://link.springer.com/article/10.1007/s11227-026-08661-9,Article
Advancing Security in&#xa0;Healthcare IoT: A Literature Review on&#xa0;MitM Attack Detection and&#xa0;Mitigation Using Machine Learning and&#xa0;Encryption Techniques,Proceedings of the Fourth International Conference on Innovations in Computing Research (ICR’25),,,,10.1007/978-3-031-95652-2_13,Mohamad Abdallah MohamadBassel Soudan,2025,https://link.springer.com/chapter/10.1007/978-3-031-95652-2_13,Conference paper
Fortifying 5G network slices using a trust-based secure federated learning framework for attack detection and classification,Progress in Artificial Intelligence,,,,10.1007/s13748-025-00415-7,Virendra Pratap SinghMahendra Pratap SinghSaumya Hegde,2025,https://link.springer.com/article/10.1007/s13748-025-00415-7,Article
A Systematic Literature Review of Network Intrusion Detection System Models,"Proceedings of International Conference on Paradigms of Communication, Computing and Data Analytics",,,,10.1007/978-981-99-4626-6_38,YogeshLalit Mohan Goyal,2023,https://link.springer.com/chapter/10.1007/978-981-99-4626-6_38,Conference paper
Adaptive resource aware and privacy preserving federated edge learning framework for real time internet of medical things applications,Scientific Reports,,,,10.1038/s41598-025-23398-w,Khalid MahmoodSonia KhanMaha AbdelhaqMahmood Ul HassanMueen UddinRaed AlsaqourKamran Ahmad AwanMuaadh A. Alsoufi,2025,https://link.springer.com/article/10.1038/s41598-025-23398-w,Article
A comprehensive survey on impact of applying various technologies on the internet of medical things,Artificial Intelligence Review,,,,10.1007/s10462-024-11063-z,Shorouk E. El-deepAmr A. AbohanyKaram M. SallamAmr A. Abd El-Mageed,2025,https://link.springer.com/article/10.1007/s10462-024-11063-z,Article
Evolving security measures for IoT medical data in cloud environments,Evolving Systems,,,,10.1007/s12530-025-09706-9,C. DhayaG. NiranjanaB. Prakash,2025,https://link.springer.com/article/10.1007/s12530-025-09706-9,Article
Fog Computing Realization for&#xa0;Healthcare-Based Big Data Analytics with&#xa0;Machine Learning,"Integrating Cloud, Fog, and Edge Computing in Healthcare: Federated Learning and Blockchain Approaches",,,,10.1007/978-3-031-96265-3_10,Dhananjay KumarArun SharmilaNaween Kumar,2026,https://link.springer.com/chapter/10.1007/978-3-031-96265-3_10,Chapter
Blockchain-based privacy-preserving 6G-IoT framework using hybrid autoencoder-transformer for smart home behavior,Computing,,,,10.1007/s00607-026-01661-w,Sumaia Mohammed AL-GhuribiMawal A. MohammedSajid AnwerSajjad Mahmood,2026,https://link.springer.com/article/10.1007/s00607-026-01661-w,Article
SCA-FLOD: a federated multi-objective learning framework for big data-driven threat detection and adaptive security policy enforcement in cloud infrastructure,International Journal of Information Technology,,,,10.1007/s41870-025-02814-4,Richa VermaRavindara Bhatt,2025,https://link.springer.com/article/10.1007/s41870-025-02814-4,Article
An efficient attack detection with mitigation and routing framework in IoT by deep learning and enhanced dung beetle optimizer,Cluster Computing,,,,10.1007/s10586-026-06023-x,Ajay Dilip Kumar MarapatlaE. Ilavarasan,2026,https://link.springer.com/article/10.1007/s10586-026-06023-x,Article
Enhancing anomaly detection and prevention in Internet of Things (IoT) using deep neural networks and blockchain based cyber security,Scientific Reports,,,,10.1038/s41598-025-04164-4,Sathyabama A RJeevaa Katiravan,2025,https://link.springer.com/article/10.1038/s41598-025-04164-4,Article
Secure IoT Medical Data Storage and Intrusion Detection Using Blockchain Encryption and Optimized Two-Branch Attention Adversarial Transformer,Biomedical Materials & Devices,,,,10.1007/s44174-025-00587-9,B. H. Baba Fakruddin AliM. A. GunavathieP. KarthigaikumarT. Giri babu,2025,https://link.springer.com/article/10.1007/s44174-025-00587-9,Article
Comparative analysis of deep learning and traditional methods for IoT botnet detection using a multi-model framework across diverse datasets,Scientific Reports,,,,10.1038/s41598-025-16553-w,Saeed UllahJunsheng WuZhijun LinMian Muhammad KamalHala MostafaMuhammad SherazTeong Chee Chuah,2025,https://link.springer.com/article/10.1038/s41598-025-16553-w,Article
Cyber resilient framework with energy efficient swarm routing and ensemble threat detection in fog assisted wireless sensor networks,Scientific Reports,,,,10.1038/s41598-025-21368-w,Anant UpadhiyayAbhishek Jain,2025,https://link.springer.com/article/10.1038/s41598-025-21368-w,Article
Safeguarding Healthcare: Leveraging Machine Learning for Enhanced Cybersecurity in the Internet of Medical Things,Fourth Congress on Intelligent Systems,,,,10.1007/978-981-99-9040-5_11,Md. AfrozEmmanuel Nyakwende,2024,https://link.springer.com/chapter/10.1007/978-981-99-9040-5_11,Conference paper
Enhancing security in iov: an ensemble learning approach for DDoS detection,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-026-02208-8,Seyed Amin Hosseini SenoZahra JanfadaSomayeh SoltaniAmirhossein Mohajerzadeh,2026,https://link.springer.com/article/10.1007/s12083-026-02208-8,Article
Real-Time and Secure Patient Monitoring in WBAN-IoMT Using Intelligent Routing and Threat Detection for Low-Latency Communication and Intrusion Prevention,Optical Memory and Neural Networks,,,,10.3103/S1060992X25603057,U. HariharanChin-Shiuh ShiehMong-Fong Horng,2026,https://link.springer.com/article/10.3103/S1060992X25603057,Article
Distributed denial of service (DDoS) classification based on random forest model with backward elimination algorithm and grid search algorithm,Scientific Reports,,,,10.1038/s41598-025-03868-x,Mohamed S. SawahHela ElmannaiAlaa A. El-BaryKh. LotfyOsama E. Sheta,2025,https://link.springer.com/article/10.1038/s41598-025-03868-x,Article
A hybrid reinforcement learning and knowledge graph framework for financial risk optimization in healthcare systems,Scientific Reports,,,,10.1038/s41598-025-14355-8,Md Shahab UddinAhsan AhmedMd AktarujjamanMohammad MoniruzzamanMumtahina AhmedM. F. MridhaMd. Jakir Hossen,2025,https://link.springer.com/article/10.1038/s41598-025-14355-8,Article
A Survey of Machine Learning Techniques for Diabetes Prediction: Current Trends and Future Directions,Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10450-1,Mudra NarasimharaoBiswaranjan SwainRahul PriyadarshiPraveen Priyaranjan NayakSatyanarayan Bhuyan,2025,https://link.springer.com/article/10.1007/s11831-025-10450-1,Article
Intrusion detection model for secure fog computing: harnessing with federated continual learning using the HIKARI dataset to combat emerging attacks,Progress in Artificial Intelligence,,,,10.1007/s13748-026-00443-x,Haider Kareem MohammedB. Indrani,2026,https://link.springer.com/article/10.1007/s13748-026-00443-x,Article
A weighted voting-based ensemble classifier based on manta ray foraging optimizer for cyberattack detection in IoT environments: a comparative study,Evolutionary Intelligence,,,,10.1007/s12065-025-01126-7,Alaa HassanReda MohamedMohamed Abdel-BassetMohamed Abouhawwash,2026,https://link.springer.com/article/10.1007/s12065-025-01126-7,Article
"Big Data Analytics in IoT, social media, NLP, and information security: trends, challenges, and applications",Journal of Big Data,,,,10.1186/s40537-025-01192-9,Kamal Taha,2025,https://link.springer.com/article/10.1186/s40537-025-01192-9,Article
Quantum-entangled neuro-symbolic swarm federation for privacy-preserving IoMT-driven multimodal healthcare,Scientific Reports,,,,10.1038/s41598-025-31820-6,Soufiane Ben OthmanObaid Ali,2025,https://link.springer.com/article/10.1038/s41598-025-31820-6,Article
Biologically inspired neuromorphic-XAI synergy for transparent and low-carbon healthcare intelligence,Scientific Reports,,,,10.1038/s41598-026-39515-2,Akey SungheethaRajesh Sharma R.Balamurugan BalusamyShrikant MapariP. KarthikSumendra Yogarayan,2026,https://link.springer.com/article/10.1038/s41598-026-39515-2,Article
Energy-efficient threat detection in IoT healthcare using AI and blockchain-enhanced fog–cloud architecture,Cluster Computing,,,,10.1007/s10586-025-05932-7,Malak AlamriNoshina TariqMamoona HumayunMenwa Alshammeri,2026,https://link.springer.com/article/10.1007/s10586-025-05932-7,Article
Challenges and Advancements in Cyber-Physical Power Systems: A Deep Learning and Quantum Encryption Perspective,Intelligent Computing and Communication,,,,10.1007/978-3-032-18346-0_56,Rakshita OkaliAnil Kannur,2026,https://link.springer.com/chapter/10.1007/978-3-032-18346-0_56,Conference paper
VARNet-6G with FIERO model for anomaly detection and enhancing network stability in future-ready communication systems,Scientific Reports,,,,10.1038/s41598-025-17268-8,S. Sankar GaneshMaha AbdelhaqSatheeshKumar PalanisamyS. Janakiraman,2025,https://link.springer.com/article/10.1038/s41598-025-17268-8,Article
Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,Scientific Reports,,,,10.1038/s41598-025-27500-0,Mohammed TawfikAshraf A. Abu-EinAmr H. AbdelhaliemYasser Mohammad Al-SharoIslam S. Fathi,2025,https://link.springer.com/article/10.1038/s41598-025-27500-0,Article
Swarm-based intelligent models for developing cybersecurity frameworks with IDS,Scientific Reports,,,,10.1038/s41598-025-30223-x,N. Satheesh KumarV. RamakrishnaM. V. KamalK. Sathish KumarV. Shiva Narayana ReddyPerumalla Janaki Ramulu,2026,https://link.springer.com/article/10.1038/s41598-025-30223-x,Article
Federated Learning for Enhanced Security in 6G-Enabled Internet of Medical Things Systems,Blockchain and Federated Learning Synergy for Privacy-Focused DeepFex Solutions,,,,10.1007/978-981-95-1394-9_9,M. Martina Jose MaryR. Shyamala DeviM. DevarajMatthew Olusegun Adigun,2026,https://link.springer.com/chapter/10.1007/978-981-95-1394-9_9,Chapter
Enhancing Cyber-physical Security and Reliability for Energy Management Systems in CAEVs,Power Engineering and Intelligent Systems,,,,10.1007/978-981-96-9720-5_34,K. Sarath ChandraK. SrinivasanP. Anand,2026,https://link.springer.com/chapter/10.1007/978-981-96-9720-5_34,Conference paper
TA-FRCNet: twin attention-based fine-tuned residual capsule network for attack detection in blockchain network layer,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-026-03152-y,S. B. Kasyapa MeenavoluC. Vanmathi,2026,https://link.springer.com/article/10.1007/s13042-026-03152-y,Article
AI-driven intrusion detection and lightweight authentication framework for secure and efficient medical sensor networks,Scientific Reports,,,,10.1038/s41598-025-31981-4,Shaha Al-OtaibiSarra AyouniNadeem SarwarAsma IrshadFaizan Ullah,2025,https://link.springer.com/article/10.1038/s41598-025-31981-4,Article
XRFLWID: XGBoost and Random Forest-Based Lightweight Intrusion Detection Model for IoT Attack Detection,Data Science and Communication,,,,10.1007/978-981-99-5435-3_49,Shahbaz Ahmad KhandayHoor FatimaNitin Rakesh,2024,https://link.springer.com/chapter/10.1007/978-981-99-5435-3_49,Conference paper
MLSTL-WSN: machine learning-based intrusion detection using SMOTETomek in WSNs,International Journal of Information Security,,,,10.1007/s10207-024-00833-z,Md. Alamin TalukderSelina SharminMd Ashraf UddinMd Manowarul IslamSunil Aryal,2024,https://link.springer.com/article/10.1007/s10207-024-00833-z,Article
Artificial Intelligence Techniques for Diagnosis of Gynecological Malignancies: A Systematic Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10711-7,Marwa M. EmamDoaa S. IbrahimEssam H. Houssein,2026,https://link.springer.com/article/10.1007/s11831-026-10711-7,Article
QoS-Aware cloud security using lightweight EfficientNet with Adaptive Sparse Bayesian Optimization,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-024-01899-1,Vinothini JSrie Vidhya Janani E,2025,https://link.springer.com/article/10.1007/s12083-024-01899-1,Article
Leveraging Hybrid Deep Learning Model for&#xa0;Advanced Attacker Detection in&#xa0;Quantum Key Distribution(QKD)-Based IoT Systems,Proceedings of Fifth International Conference on Computing and Communication Networks,,,,10.1007/978-3-032-18910-3_37,G. VineelaV. SowmyaJ. Vinoj,2026,https://link.springer.com/chapter/10.1007/978-3-032-18910-3_37,Conference paper
A GAN-DQN enhanced AI-driven framework for real-time smart intrusion detection system in cooperative IoT networks,Cluster Computing,,,,10.1007/s10586-025-05913-w,Gunupudi Rajesh KumarGanesh Naidu UmmadisettiNimmala MangathayaruYalla Jeevan Nagendra KumarRavikiran KKrishna Bhimaavarapu,2026,https://link.springer.com/article/10.1007/s10586-025-05913-w,Article
Deep learning-based blockchain framework for fraud detection using multilevel supervision in hierarchical generative hashing,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02916-2,Ihab K. A. HamdanWulamu AziguliDezheng ZhangAnurag Tiwari,2026,https://link.springer.com/article/10.1007/s13042-025-02916-2,Article
Intrusion Detection Using TabNet with Recursive Feature Elimination and Deep Supervision,"Advanced Engineering, Technology and Applications on Power Systems",,,,10.1007/978-3-032-13921-4_18,Awatef Bshir M. AlzririgAyça Kurnaz Türkben,2026,https://link.springer.com/chapter/10.1007/978-3-032-13921-4_18,Conference paper
A hybrid fog-edge computing architecture for real-time health monitoring in IoMT systems with optimized latency and threat resilience,Scientific Reports,,,,10.1038/s41598-025-09696-3,Umar IslamMohammed Naif AlatawiAli AlqazzazSulaiman AlamroBabar ShahFernando Moreira,2025,https://link.springer.com/article/10.1038/s41598-025-09696-3,Article
Challenges in detecting security threats in WoT: a systematic literature review,Artificial Intelligence Review,,,,10.1007/s10462-025-11176-z,Ruhma SardarTayyaba AneesAhmad Sami Al-ShamaylehErum MehmoodWajeeha KhalilAdnan AkhunzadaFatema Sabeen Shaikh,2025,https://link.springer.com/article/10.1007/s10462-025-11176-z,Article
Enhanced chimp optimization algorithm using crossover and mutation techniques with machine learning for IoT intrusion detection system,Cluster Computing,,,,10.1007/s10586-025-05119-0,Ahmad NasayrehNoor Aldeen AlawadAmeera Jaradat,2025,https://link.springer.com/article/10.1007/s10586-025-05119-0,Article
An advanced data analytics approach to a cognitive cyber-physical system for the identification and mitigation of cyber threats in the medical internet of things (MIoT),The Journal of Supercomputing,,,,10.1007/s11227-025-07093-1,Yayuan TangSuchi MishraNoha AlduaijiPiyush Kumar ShuklaMohammad YahyaTao Pang,2025,https://link.springer.com/article/10.1007/s11227-025-07093-1,Article
A novel unified lightweight temporal-spatial transformer approach for intrusion detection in drone networks,Scientific Reports,,,,10.1038/s41598-026-45063-6,Tarun Kumar BiswasAshrafun ZannatWaqas IshtiaqMd. Alamgir Hossain,2026,https://link.springer.com/article/10.1038/s41598-026-45063-6,Article
A comprehensive survey on federated learning for privacy preservation in digital healthcare applications,Knowledge and Information Systems,,,,10.1007/s10115-025-02673-2,Rohit KanauziaMridula SinghSagar GulatiBrij Mohan SinghNeha AroraKamal Kumar Gola,2026,https://link.springer.com/article/10.1007/s10115-025-02673-2,Article
An Intuitive Security Paradigm Based on Novel Deep Learning Model for the Detection of Cyber-Assaults in IoHT Networks,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",,,,10.1007/s40998-025-00921-3,M. GaneshP. SenthilP. Jesu JayarinR. Lakshmi PriyaS. Ramani,2025,https://link.springer.com/article/10.1007/s40998-025-00921-3,Article
Comparative Systematic Review on&#xa0;Intelligent Threat Detection in&#xa0;Cloud Computing,Focus on Artificial Intelligence in Intelligent Systems Design,,,,10.1007/978-3-032-22091-2_8,Edgar David Vasquez  ColterRicardo Manuel Arias VelásquezLisseth Zulay Tejada Espinoza,2026,https://link.springer.com/chapter/10.1007/978-3-032-22091-2_8,Conference paper
Optimizing XGBoost hyperparameters using the dragonfly algorithm for enhanced cyber attack detection in the internet of healthcare things (IoHT),Cluster Computing,,,,10.1007/s10586-024-04874-w,SurbhiNupa Ram ChauhanNeeraj Dahiya,2025,https://link.springer.com/article/10.1007/s10586-024-04874-w,Article
Anomaly Detection for Internet of Medical Things Using Chameleon Optimization-Based Feature Selection,Proceedings of the International Symposium on Intelligent Computing and Networking 2024,,,,10.1007/978-3-031-67447-1_10,Azadeh KhosrotabarMichel Kadoch,2024,https://link.springer.com/chapter/10.1007/978-3-031-67447-1_10,Conference paper
Research trends in deep learning and machine learning for cloud computing security,Artificial Intelligence Review,,,,10.1007/s10462-024-10776-5,Yehia Ibrahim AlzoubiAlok MishraAhmet Ercan Topcu,2024,https://link.springer.com/article/10.1007/s10462-024-10776-5,Article
Intrusion Detection Approaches in Healthcare Systems: An Overview,Reliability in Cyber-Physical Systems: The Human Factor Perspective,,,,10.1007/978-3-032-09917-4_9,Chaimae HazmanMaryam DouibaAzidine GuezzazVinayakumar RaviMourade AzrourSaid Benkirane,2026,https://link.springer.com/chapter/10.1007/978-3-032-09917-4_9,Chapter
Deep learning-based improved transformer model on android malware detection and classification in internet of vehicles,Scientific Reports,,,,10.1038/s41598-024-74017-z,Naif Almakayeel,2024,https://link.springer.com/article/10.1038/s41598-024-74017-z,Article
Incident-aware smart prioritization framework for penetration testing and prevention of URL-based cybersecurity attacks in industry 4.0 IoT networks,Scientific Reports,,,,10.1038/s41598-025-21409-4,Zhanserik NurlanDauren GabdullayevBigul MukhametzhanovaNurkhat ZhakiyevIrawan SonnyMohammed Alaa Ala’anzyZulfiqar AhmadBeibut Amirgaliyev,2025,https://link.springer.com/article/10.1038/s41598-025-21409-4,Article
Building Cyber Resilience: Artificial Intelligence to Predict Threats and Adapt Responses,Data Processing and Networking,,,,10.1007/978-981-96-5535-9_10,Awais RasheedHifsah NasirNazar HussainMaqbool KhanWei LiFaizan Ahmad,2025,https://link.springer.com/chapter/10.1007/978-981-96-5535-9_10,Conference paper
A secured remote patient monitoring framework for IoMT ecosystems,Scientific Reports,,,,10.1038/s41598-025-04774-y,Pronaya BhattacharyaAnwesha MukherjeeBharat BhushanShashi Kant GuptaThippa Reddy GadekalluZhu Zhu,2025,https://link.springer.com/article/10.1038/s41598-025-04774-y,Article
A review on advancing biometric authentication through integrating multimodal fusion with synthetic data augmentation for adaptive systems,The European Physical Journal Plus,,,,10.1140/epjp/s13360-026-07296-2,Laxman SinghAshish KumarRicha Golash,2026,https://link.springer.com/article/10.1140/epjp/s13360-026-07296-2,Article
X-DeepID: An Explainable Hybrid Deep Learning Method for&#xa0;Enhancing IoT Security with&#xa0;Intrusion Detection,Soft Computing and Its Engineering Applications,,,,10.1007/978-3-031-53731-8_4,Gautam BhagatKhushboo MishraTanima Dutta,2024,https://link.springer.com/chapter/10.1007/978-3-031-53731-8_4,Conference paper
A novel intrusion detection system for dew computing environments based on an enhanced federated deep learning model,The Journal of Supercomputing,,,,10.1007/s11227-026-08314-x,Alireza FadaeiBehrang Barekatain,2026,https://link.springer.com/article/10.1007/s11227-026-08314-x,Article
